Year;Month;Day;Hour;Temperature;GHI
2024;1;15;0;28.0;0.0
2024;1;15;1;27.5;0.0
2024;1;15;2;27.1;0.0
2024;1;15;3;26.7;0.0
2024;1;15;4;26.3;0.0
2024;1;15;5;26.1;0.0
2024;1;15;6;26.0;0.0
2024;1;15;7;26.1;0.0
2024;1;15;8;26.0;0.0
2024;1;15;9;25.9;0.0
2024;1;15;10;25.7;0.0
2024;1;15;11;25.8;0.0
2024;1;15;12;27.9;83.0
2024;1;15;13;30.2;307.0
2024;1;15;14;32.1;536.0
2024;1;15;15;33.9;729.0
2024;1;15;16;35.4;860.0
2024;1;15;17;36.4;895.0
2024;1;15;18;37.0;897.0
2024;1;15;19;37.0;799.0
2024;1;15;20;36.2;634.0
2024;1;15;21;34.4;416.0
2024;1;15;22;30.4;181.0
2024;1;15;23;28.1;5.0
2024;1;16;0;27.5;0.0
2024;1;16;1;27.3;0.0
2024;1;16;2;26.8;0.0
2024;1;16;3;26.4;0.0
2024;1;16;4;26.2;0.0
2024;1;16;5;26.0;0.0
2024;1;16;6;26.0;0.0
2024;1;16;7;26.0;0.0
2024;1;16;8;25.9;0.0
2024;1;16;9;25.8;0.0
2024;1;16;10;25.6;0.0
2024;1;16;11;26.0;0.0
2024;1;16;12;28.2;80.0
2024;1;16;13;30.6;302.0
2024;1;16;14;32.6;530.0
2024;1;16;15;34.3;714.0
2024;1;16;16;35.6;841.0
2024;1;16;17;36.5;846.0
2024;1;16;18;37.1;854.0
2024;1;16;19;37.1;778.0
2024;1;16;20;36.4;616.0
2024;1;16;21;35.1;397.0
2024;1;16;22;32.3;176.0
2024;1;16;23;29.8;6.0
2024;1;17;0;28.8;0.0
2024;1;17;1;28.5;0.0
2024;1;17;2;28.1;0.0
2024;1;17;3;27.7;0.0
2024;1;17;4;27.2;0.0
2024;1;17;5;26.8;0.0
2024;1;17;6;26.6;0.0
2024;1;17;7;26.5;0.0
2024;1;17;8;26.4;0.0
2024;1;17;9;26.3;0.0
2024;1;17;10;26.2;0.0
2024;1;17;11;26.6;0.0
2024;1;17;12;28.8;72.0
2024;1;17;13;30.9;289.0
2024;1;17;14;32.8;528.0
2024;1;17;15;34.5;711.0
2024;1;17;16;36.0;549.0
2024;1;17;17;37.0;645.0
2024;1;17;18;37.5;873.0
2024;1;17;19;37.3;740.0
2024;1;17;20;36.4;423.0
2024;1;17;21;34.4;401.0
2024;1;17;22;31.0;172.0
2024;1;17;23;29.3;6.0
2024;1;18;0;28.7;0.0
2024;1;18;1;28.0;0.0
2024;1;18;2;27.6;0.0
2024;1;18;3;27.3;0.0
2024;1;18;4;27.0;0.0
2024;1;18;5;26.8;0.0
2024;1;18;6;26.6;0.0
2024;1;18;7;26.5;0.0
2024;1;18;8;26.3;0.0
2024;1;18;9;26.1;0.0
2024;1;18;10;25.9;0.0
2024;1;18;11;26.3;0.0
2024;1;18;12;28.4;78.0
2024;1;18;13;30.7;300.0
2024;1;18;14;32.6;529.0
2024;1;18;15;34.4;723.0
2024;1;18;16;36.0;853.0
2024;1;18;17;37.2;845.0
2024;1;18;18;37.8;870.0
2024;1;18;19;37.8;789.0
2024;1;18;20;36.9;625.0
2024;1;18;21;34.9;347.0
2024;1;18;22;31.2;172.0
2024;1;18;23;29.3;6.0
2024;1;19;0;28.6;0.0
2024;1;19;1;27.8;0.0
2024;1;19;2;27.4;0.0
2024;1;19;3;27.0;0.0
2024;1;19;4;26.7;0.0
2024;1;19;5;26.3;0.0
2024;1;19;6;26.1;0.0
2024;1;19;7;25.9;0.0
2024;1;19;8;25.7;0.0
2024;1;19;9;25.5;0.0
2024;1;19;10;25.4;0.0
2024;1;19;11;25.8;0.0
2024;1;19;12;27.9;76.0
2024;1;19;13;30.6;295.0
2024;1;19;14;32.9;521.0
2024;1;19;15;34.6;708.0
2024;1;19;16;36.0;708.0
2024;1;19;17;37.0;748.0
2024;1;19;18;37.6;590.0
2024;1;19;19;37.4;563.0
2024;1;19;20;36.5;531.0
2024;1;19;21;34.5;404.0
2024;1;19;22;30.9;175.0
2024;1;19;23;29.1;6.0
2024;1;20;0;28.4;0.0
2024;1;20;1;27.7;0.0
2024;1;20;2;27.3;0.0
2024;1;20;3;27.0;0.0
2024;1;20;4;26.7;0.0
2024;1;20;5;26.4;0.0
2024;1;20;6;26.1;0.0
2024;1;20;7;26.0;0.0
2024;1;20;8;25.8;0.0
2024;1;20;9;25.8;0.0
2024;1;20;10;25.7;0.0
2024;1;20;11;26.1;0.0
2024;1;20;12;28.1;74.0
2024;1;20;13;30.4;293.0
2024;1;20;14;32.6;501.0
2024;1;20;15;34.4;696.0
2024;1;20;16;35.9;839.0
2024;1;20;17;36.9;793.0
2024;1;20;18;37.3;694.0
2024;1;20;19;37.2;749.0
2024;1;20;20;36.4;574.0
2024;1;20;21;34.4;404.0
2024;1;20;22;30.8;175.0
2024;1;20;23;29.1;7.0
2024;1;21;0;28.4;0.0
2024;1;21;1;27.7;0.0
2024;1;21;2;27.3;0.0
2024;1;21;3;27.0;0.0
2024;1;21;4;26.6;0.0
2024;1;21;5;26.3;0.0
2024;1;21;6;26.1;0.0
2024;1;21;7;25.8;0.0
2024;1;21;8;25.7;0.0
2024;1;21;9;25.7;0.0
2024;1;21;10;25.8;0.0
2024;1;21;11;26.1;0.0
2024;1;21;12;28.0;73.0
2024;1;21;13;30.3;292.0
2024;1;21;14;32.4;506.0
2024;1;21;15;34.4;705.0
2024;1;21;16;36.0;836.0
2024;1;21;17;37.0;894.0
2024;1;21;18;37.2;655.0
2024;1;21;19;36.9;734.0
2024;1;21;20;35.7;556.0
2024;1;21;21;33.5;407.0
2024;1;21;22;30.5;178.0
2024;1;21;23;28.8;7.0
2024;1;22;0;27.9;0.0
2024;1;22;1;27.2;0.0
2024;1;22;2;26.8;0.0
2024;1;22;3;26.5;0.0
2024;1;22;4;26.2;0.0
2024;1;22;5;26.0;0.0
2024;1;22;6;25.9;0.0
2024;1;22;7;25.7;0.0
2024;1;22;8;25.5;0.0
2024;1;22;9;25.3;0.0
2024;1;22;10;25.1;0.0
2024;1;22;11;25.5;0.0
2024;1;22;12;27.7;76.0
2024;1;22;13;30.2;299.0
2024;1;22;14;32.5;528.0
2024;1;22;15;34.5;720.0
2024;1;22;16;36.1;848.0
2024;1;22;17;37.3;887.0
2024;1;22;18;38.0;884.0
2024;1;22;19;38.1;787.0
2024;1;22;20;37.2;624.0
2024;1;22;21;35.4;414.0
2024;1;22;22;31.6;153.0
2024;1;22;23;29.3;8.0
2024;1;23;0;28.6;0.0
2024;1;23;1;28.0;0.0
2024;1;23;2;27.5;0.0
2024;1;23;3;27.0;0.0
2024;1;23;4;26.7;0.0
2024;1;23;5;26.4;0.0
2024;1;23;6;26.3;0.0
2024;1;23;7;26.2;0.0
2024;1;23;8;26.1;0.0
2024;1;23;9;25.9;0.0
2024;1;23;10;25.6;0.0
2024;1;23;11;25.7;0.0
2024;1;23;12;28.1;80.0
2024;1;23;13;30.6;303.0
2024;1;23;14;32.8;529.0
2024;1;23;15;34.8;713.0
2024;1;23;16;36.4;839.0
2024;1;23;17;37.4;897.0
2024;1;23;18;37.7;871.0
2024;1;23;19;37.3;759.0
2024;1;23;20;36.3;616.0
2024;1;23;21;34.4;409.0
2024;1;23;22;31.1;182.0
2024;1;23;23;29.2;10.0
2024;1;24;0;28.9;0.0
2024;1;24;1;28.2;0.0
2024;1;24;2;27.7;0.0
2024;1;24;3;27.3;0.0
2024;1;24;4;26.9;0.0
2024;1;24;5;26.7;0.0
2024;1;24;6;26.5;0.0
2024;1;24;7;26.3;0.0
2024;1;24;8;26.0;0.0
2024;1;24;9;25.9;0.0
2024;1;24;10;25.7;0.0
2024;1;24;11;26.0;0.0
2024;1;24;12;28.4;80.0
2024;1;24;13;30.9;307.0
2024;1;24;14;32.9;537.0
2024;1;24;15;34.7;714.0
2024;1;24;16;36.4;846.0
2024;1;24;17;37.6;903.0
2024;1;24;18;38.2;879.0
2024;1;24;19;38.0;769.0
2024;1;24;20;36.8;561.0
2024;1;24;21;34.9;385.0
2024;1;24;22;31.6;177.0
2024;1;24;23;30.0;8.0
2024;1;25;0;29.2;0.0
2024;1;25;1;28.4;0.0
2024;1;25;2;28.0;0.0
2024;1;25;3;27.5;0.0
2024;1;25;4;27.1;0.0
2024;1;25;5;26.8;0.0
2024;1;25;6;26.7;0.0
2024;1;25;7;26.6;0.0
2024;1;25;8;26.3;0.0
2024;1;25;9;26.1;0.0
2024;1;25;10;26.0;0.0
2024;1;25;11;26.3;0.0
2024;1;25;12;28.5;77.0
2024;1;25;13;30.7;304.0
2024;1;25;14;32.7;537.0
2024;1;25;15;34.6;733.0
2024;1;25;16;36.2;867.0
2024;1;25;17;37.4;898.0
2024;1;25;18;38.1;904.0
2024;1;25;19;38.0;690.0
2024;1;25;20;37.2;623.0
2024;1;25;21;35.0;432.0
2024;1;25;22;30.8;195.0
2024;1;25;23;28.6;12.0
2024;1;26;0;28.4;0.0
2024;1;26;1;27.5;0.0
2024;1;26;2;27.0;0.0
2024;1;26;3;26.5;0.0
2024;1;26;4;26.0;0.0
2024;1;26;5;25.6;0.0
2024;1;26;6;25.4;0.0
2024;1;26;7;25.3;0.0
2024;1;26;8;25.2;0.0
2024;1;26;9;25.2;0.0
2024;1;26;10;25.2;0.0
2024;1;26;11;25.7;0.0
2024;1;26;12;28.0;79.0
2024;1;26;13;30.2;305.0
2024;1;26;14;32.3;537.0
2024;1;26;15;34.3;729.0
2024;1;26;16;35.9;862.0
2024;1;26;17;37.2;922.0
2024;1;26;18;37.8;897.0
2024;1;26;19;37.7;800.0
2024;1;26;20;36.7;635.0
2024;1;26;21;34.5;422.0
2024;1;26;22;30.7;188.0
2024;1;26;23;29.0;11.0
2024;1;27;0;28.2;0.0
2024;1;27;1;27.4;0.0
2024;1;27;2;27.0;0.0
2024;1;27;3;26.6;0.0
2024;1;27;4;26.2;0.0
2024;1;27;5;26.0;0.0
2024;1;27;6;25.8;0.0
2024;1;27;7;25.6;0.0
2024;1;27;8;25.4;0.0
2024;1;27;9;25.3;0.0
2024;1;27;10;25.2;0.0
2024;1;27;11;25.6;0.0
2024;1;27;12;27.9;73.0
2024;1;27;13;30.5;294.0
2024;1;27;14;32.7;523.0
2024;1;27;15;34.5;715.0
2024;1;27;16;36.0;850.0
2024;1;27;17;36.9;739.0
2024;1;27;18;37.0;744.0
2024;1;27;19;36.6;760.0
2024;1;27;20;35.6;617.0
2024;1;27;21;33.5;413.0
2024;1;27;22;30.6;183.0
2024;1;27;23;29.0;8.0
2024;1;28;0;28.1;0.0
2024;1;28;1;27.5;0.0
2024;1;28;2;27.1;0.0
2024;1;28;3;26.8;0.0
2024;1;28;4;26.5;0.0
2024;1;28;5;26.2;0.0
2024;1;28;6;25.9;0.0
2024;1;28;7;25.7;0.0
2024;1;28;8;25.6;0.0
2024;1;28;9;25.5;0.0
2024;1;28;10;25.4;0.0
2024;1;28;11;25.6;0.0
2024;1;28;12;27.4;61.0
2024;1;28;13;29.6;299.0
2024;1;28;14;31.9;531.0
2024;1;28;15;33.6;717.0
2024;1;28;16;34.8;851.0
2024;1;28;17;35.6;691.0
2024;1;28;18;35.9;732.0
2024;1;28;19;35.6;763.0
2024;1;28;20;34.7;638.0
2024;1;28;21;33.0;427.0
2024;1;28;22;29.8;194.0
2024;1;28;23;28.2;12.0
2024;1;29;0;27.8;0.0
2024;1;29;1;27.1;0.0
2024;1;29;2;26.6;0.0
2024;1;29;3;26.1;0.0
2024;1;29;4;25.7;0.0
2024;1;29;5;25.4;0.0
2024;1;29;6;25.1;0.0
2024;1;29;7;24.8;0.0
2024;1;29;8;24.7;0.0
2024;1;29;9;24.5;0.0
2024;1;29;10;24.4;0.0
2024;1;29;11;24.9;0.0
2024;1;29;12;27.1;77.0
2024;1;29;13;29.6;303.0
2024;1;29;14;32.1;535.0
2024;1;29;15;34.0;723.0
2024;1;29;16;35.4;823.0
2024;1;29;17;36.2;545.0
2024;1;29;18;36.3;665.0
2024;1;29;19;35.8;644.0
2024;1;29;20;34.6;547.0
2024;1;29;21;32.7;421.0
2024;1;29;22;30.0;189.0
2024;1;29;23;28.4;11.0
2024;1;30;0;27.4;0.0
2024;1;30;1;26.9;0.0
2024;1;30;2;26.6;0.0
2024;1;30;3;26.3;0.0
2024;1;30;4;26.0;0.0
2024;1;30;5;25.7;0.0
2024;1;30;6;25.3;0.0
2024;1;30;7;25.1;0.0
2024;1;30;8;24.9;0.0
2024;1;30;9;24.7;0.0
2024;1;30;10;24.7;0.0
2024;1;30;11;25.1;0.0
2024;1;30;12;26.9;51.0
2024;1;30;13;28.9;284.0
2024;1;30;14;31.1;510.0
2024;1;30;15;33.2;637.0
2024;1;30;16;34.8;835.0
2024;1;30;17;35.7;762.0
2024;1;30;18;36.1;693.0
2024;1;30;19;35.7;520.0
2024;1;30;20;34.7;567.0
2024;1;30;21;33.1;417.0
2024;1;30;22;30.5;188.0
2024;1;30;23;28.7;11.0
2024;1;31;0;27.9;0.0
2024;1;31;1;27.3;0.0
2024;1;31;2;26.9;0.0
2024;1;31;3;26.6;0.0
2024;1;31;4;26.1;0.0
2024;1;31;5;25.7;0.0
2024;1;31;6;25.4;0.0
2024;1;31;7;25.2;0.0
2024;1;31;8;25.1;0.0
2024;1;31;9;25.1;0.0
2024;1;31;10;25.0;0.0
